"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578609","0. __tot__",67,34,33
"63578609","1. 00 A 04",8,3,5
"63578609","2. 05 A 09",7,4,3
"63578609","3. 10 A 14",5,3,2
"63578609","4. 15 A 19",1,1,NA
"63578609","6. 25 A 29",6,2,4
"63578609","8. 35 A 39",6,4,2
"63578609","9. 40 A 44",11,6,5
"63578609","10. 45 A 49",5,2,3
"63578609","11. 50 A 54",3,2,1
"63578609","12. 55 A 59",1,NA,1
"63578609","13. 60 A 64",6,5,1
"63578609","14. 65 A 69",4,1,3
"63578609","15. 70 A 74",2,NA,2
"63578609","16. 75 A 79",2,1,1
