"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578510","0. __tot__",140,72,68
"63578510","1. 00 A 04",3,2,1
"63578510","2. 05 A 09",7,3,4
"63578510","3. 10 A 14",9,4,5
"63578510","4. 15 A 19",12,7,5
"63578510","5. 20 A 24",7,4,3
"63578510","6. 25 A 29",5,1,4
"63578510","7. 30 A 34",8,3,5
"63578510","8. 35 A 39",14,6,8
"63578510","9. 40 A 44",8,3,5
"63578510","10. 45 A 49",8,7,1
"63578510","11. 50 A 54",15,7,8
"63578510","12. 55 A 59",5,3,2
"63578510","13. 60 A 64",14,7,7
"63578510","14. 65 A 69",10,6,4
"63578510","15. 70 A 74",6,1,5
"63578510","16. 75 A 79",3,2,1
"63578510","17. 80 A 84",1,1,NA
"63578510","18. 85 A 89",2,2,NA
"63578510","19. 90 A 94",2,2,NA
"63578510","20. 95 A 99",1,1,NA
