"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578607","0. __tot__",27,14,13
"63578607","1. 00 A 04",1,1,NA
"63578607","2. 05 A 09",1,NA,1
"63578607","3. 10 A 14",1,NA,1
"63578607","4. 15 A 19",2,2,NA
"63578607","5. 20 A 24",2,1,1
"63578607","6. 25 A 29",1,NA,1
"63578607","7. 30 A 34",1,1,NA
"63578607","8. 35 A 39",3,NA,3
"63578607","9. 40 A 44",5,3,2
"63578607","11. 50 A 54",1,NA,1
"63578607","12. 55 A 59",5,3,2
"63578607","13. 60 A 64",2,1,1
"63578607","17. 80 A 84",1,1,NA
"63578607","18. 85 A 89",1,1,NA
