"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63579106","0. __tot__",254,134,120
"63579106","1. 00 A 04",22,9,13
"63579106","2. 05 A 09",28,16,12
"63579106","3. 10 A 14",33,17,16
"63579106","4. 15 A 19",18,11,7
"63579106","5. 20 A 24",20,10,10
"63579106","6. 25 A 29",24,14,10
"63579106","7. 30 A 34",32,16,16
"63579106","8. 35 A 39",10,5,5
"63579106","9. 40 A 44",10,6,4
"63579106","10. 45 A 49",16,8,8
"63579106","11. 50 A 54",9,5,4
"63579106","12. 55 A 59",18,12,6
"63579106","13. 60 A 64",8,3,5
"63579106","14. 65 A 69",2,1,1
"63579106","15. 70 A 74",2,1,1
"63579106","17. 80 A 84",1,NA,1
"63579106","20. 95 A 99",1,NA,1
