"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578612","0. __tot__",60,23,37
"63578612","1. 00 A 04",4,NA,4
"63578612","2. 05 A 09",8,1,7
"63578612","3. 10 A 14",3,2,1
"63578612","4. 15 A 19",2,2,NA
"63578612","5. 20 A 24",4,2,2
"63578612","6. 25 A 29",4,2,2
"63578612","7. 30 A 34",6,3,3
"63578612","8. 35 A 39",2,1,1
"63578612","9. 40 A 44",2,1,1
"63578612","10. 45 A 49",3,2,1
"63578612","11. 50 A 54",6,2,4
"63578612","12. 55 A 59",7,1,6
"63578612","13. 60 A 64",1,NA,1
"63578612","14. 65 A 69",1,1,NA
"63578612","15. 70 A 74",1,NA,1
"63578612","16. 75 A 79",4,2,2
"63578612","17. 80 A 84",1,NA,1
"63578612","20. 95 A 99",1,1,NA
