"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578507","0. __tot__",112,56,56
"63578507","1. 00 A 04",5,3,2
"63578507","2. 05 A 09",13,7,6
"63578507","3. 10 A 14",4,3,1
"63578507","4. 15 A 19",12,4,8
"63578507","5. 20 A 24",1,1,NA
"63578507","6. 25 A 29",3,NA,3
"63578507","7. 30 A 34",9,5,4
"63578507","8. 35 A 39",14,7,7
"63578507","9. 40 A 44",5,3,2
"63578507","10. 45 A 49",9,4,5
"63578507","11. 50 A 54",7,3,4
"63578507","12. 55 A 59",6,4,2
"63578507","13. 60 A 64",8,2,6
"63578507","14. 65 A 69",11,6,5
"63578507","15. 70 A 74",1,NA,1
"63578507","16. 75 A 79",3,3,NA
"63578507","17. 80 A 84",1,1,NA
