"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578506","0. __tot__",136,60,76
"63578506","1. 00 A 04",6,1,5
"63578506","2. 05 A 09",14,6,8
"63578506","3. 10 A 14",11,7,4
"63578506","4. 15 A 19",12,5,7
"63578506","5. 20 A 24",8,4,4
"63578506","6. 25 A 29",3,1,2
"63578506","7. 30 A 34",10,5,5
"63578506","8. 35 A 39",8,5,3
"63578506","9. 40 A 44",16,6,10
"63578506","10. 45 A 49",8,2,6
"63578506","11. 50 A 54",9,2,7
"63578506","12. 55 A 59",5,2,3
"63578506","13. 60 A 64",8,6,2
"63578506","14. 65 A 69",5,3,2
"63578506","15. 70 A 74",7,3,4
"63578506","16. 75 A 79",3,NA,3
"63578506","17. 80 A 84",1,NA,1
"63578506","18. 85 A 89",1,1,NA
"63578506","19. 90 A 94",1,1,NA
