"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63578901","0. __tot__",890,433,457
"63578901","1. 00 A 04",34,18,16
"63578901","2. 05 A 09",70,33,37
"63578901","3. 10 A 14",70,32,38
"63578901","4. 15 A 19",80,33,47
"63578901","5. 20 A 24",65,29,36
"63578901","6. 25 A 29",60,28,32
"63578901","7. 30 A 34",59,29,30
"63578901","8. 35 A 39",51,28,23
"63578901","9. 40 A 44",70,37,33
"63578901","10. 45 A 49",95,49,46
"63578901","11. 50 A 54",74,30,44
"63578901","12. 55 A 59",50,27,23
"63578901","13. 60 A 64",40,25,15
"63578901","14. 65 A 69",22,9,13
"63578901","15. 70 A 74",17,8,9
"63578901","16. 75 A 79",21,12,9
"63578901","17. 80 A 84",6,3,3
"63578901","18. 85 A 89",6,3,3
