"Radio","Edad.en.grupos.quinquenales","X__tot__","Mujer...Femenino","Varón...Masculino"
"63579103","0. __tot__",219,109,110
"63579103","1. 00 A 04",19,7,12
"63579103","2. 05 A 09",35,19,16
"63579103","3. 10 A 14",22,10,12
"63579103","4. 15 A 19",16,9,7
"63579103","5. 20 A 24",19,10,9
"63579103","6. 25 A 29",20,15,5
"63579103","7. 30 A 34",19,6,13
"63579103","8. 35 A 39",10,5,5
"63579103","9. 40 A 44",11,7,4
"63579103","10. 45 A 49",15,7,8
"63579103","11. 50 A 54",4,1,3
"63579103","12. 55 A 59",8,5,3
"63579103","13. 60 A 64",3,2,1
"63579103","14. 65 A 69",9,2,7
"63579103","15. 70 A 74",7,3,4
"63579103","16. 75 A 79",1,1,NA
"63579103","17. 80 A 84",1,NA,1
